,검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
709,원전,내용,2019-10-12,종료,2,일본 왕의 즉위식 가지말자,2019.10.12,5,2,"이총리가 즉위식에 간다고 하는데
우선
안가야 한다고 본다.
그간 일본은
강제징용
성노예위안부
수출금지
독독에 대한 방위백서로 도발
식민지 범죄 미화와 야스쿠니 신사건
위안부 세계유산기록 방해
후구시마 원전폭발 폐기물 건
그외에도
셀 수 없는 만행과 악행을 했고
반성없는 철면피 집단이다.
그런 나라의 왕이라는 전근대적 제도에 왜 우리가 참석하고
총리가 가나
간다고 관계가 좋아지나
그네들 자만심만 올려주는 것 아닌가.
외교부 명이로 축전이나 의례상 보내면 되고
축전도 보낼 필요없다.
프랑스는 왕을 처형했다
전 근대적 유물인 왕제도를 일본은 유지하는데
뭘 그건 제도에 찬동하는 것도 아닌데
즉위식에 가나
나로선 이해 안되고
괜히 일본사람 체면만 세워주고
우리나라 위상만 깍인다고본다.
왜냐
일본인 관점에서보면
수출제한이니 혐한이니 하는데도
자존심도 없이 즉위식에 축하한다고 왔구나 하지
자신들이 몹쓸짓을 하고
독도 영토에 대한 억지주장하는데
그런 걸 다 감안해도
우호를 위해 왔구나
고맙다
이런 생각 안한다는 것이다.
아베와 일본을 분리하자는 정치인들의 기만적 주장이나
시민단체의 어리석은 주장은
아무런 합리성이 없다.
현재 총리 중에서 아베가 최장 기간 총리를 하고 있다.
선거도 이겼다
더구나 개헌해서 전쟁 가능한 나라 만드는 것이 아베의 최우선 헌법과제이다.
이런 아베를 일본인들은 찬도하였고
그래서 지금도 총리를 한다.
결
나로선 즉위식에 가는 것은 이해안되도
총리라면 대통령 다음인데
총리가 왜 가나
강장관이 가도 감지덕지라 본다.
왜 우리나라는
악한 자들에게 항상 비굴하게
고개를 숙이나?
일본이 독처럼 반성하고
전범을 처벌하고 하면
미래지향이 가능하지만
오히려
적반하장이다.
특히 대법원 판결을 부정하는 것은 대한민국 법통자체를 부정하는 주장이다.
국제법 운운하지만 국제법상 개인의 권리를 국가가 편취하든지 탈취할 수 없고
소멸시효도 국제법에는 없다
즉 국제법 위반이 전혀 아니고
식민강점 행위 자체가 불법해위이다.
여하간 만약 간다면
이총리 해임하든지 해야 할 사안이다.
그렇다고 일본이 즉위식에 오는 것을 간절히 바라는 것도 아니다
대체 왜 가나
이해 불가다.
올림픽도 불참이 옳는 태도인데
아예 언급도 없다.
일본이 후구시마 농수산물로 선수들한테 제공한다고 하는데
이런 일본의 태도에 왜 우리는 그저 순응하나
욱일기도 사용한다고 하고
이런 모든 것은
아베와 일본이 분리되지 않고
일본은 인류 보편성을 가진 정상국가로 보기 어렵다는 것이다.
군사정보협정도
일본은 아무쓸모없는 정보를 우리에게 준다고 한다
즉 구글 지도 캡쳐해서 정보라고 준다는 것이다.
이건 모욕이고 기만이며
우리 정보체계를 떠보는 간첩행위에 불과하다.
 ",2019-10-12~2020-03-03,일반공공행정>기타,,#ㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹ,일본 왕의 즉위식 가지말자에 찬성하는 바입니다. 가봐야 실 소득이 없고 천대받을 것이다.
710,원전,내용,2019-09-30,종료,2,[불채택제안 다시보기] 시민강사 발굴‘재능나루터’운영,2019.09.30,4,2,"제안실무심사를 통해 불채택되어 관리중인 제안입니다.
제안내용을 읽어보시고, “이것이 보완하면 좋겠다!”라고 생각되는 사항에 대해 자유롭게 말씀해주세요.
 
 
제안명 :  시민강사 발굴‘재능나루터’운영 
□ 현황 및 필요성
○ 관내 평생학습관은 ’교육문화회관‘ 1개소로 북부권역과 남부권역에 평생학습관이 없으며 도서관, 주민센터, 복지관 등에서 평생학습 프로그램 운영
⇒ 평생학습 참여를 원하는 시민들의 욕구를 수용하기 어려운 여건임
○ 평생학습기관의 강사는 주로 ’강사경력보유‘ 관외지역 강사가 다수로 역량을 보유한 시민들의 재능을 지역사회 소외계층과 연계할 필요가 있음
○ 마을회관, 경로당, 작은도서관 등 지역 내 유휴공간은 있으나 평생학습 지원은 저조하며 강사료 지급기준에 따른 예산지원의 어려움
□ 제안 방안 
○ 시민강사 발굴 및 역량강화 지원
- 강사발굴 :1) 관내 평생학습관 강사의 추천을 받은 역량 있는 시민
                 2) 평생학습 프로그램 관련 자격증 보유 시민 등   
- 양성지원 : 3)‘시민강사’ 활동을 통해 ‘전문강사’로 성장 지원
                  * 1일 2개소/4시간(2시간 강사료+2시간 재능기부) 
                 4) 시민강사 역량강화 교육(워크숍) 지원전문강사 연계
○마을단위 평생학습 활성화 지원
  - 평생학습관 이용이 어려운 경로당 어르신 우선 지원 
  - 평생학습 예산 지원이 없는 작은도서관 활성화 지원 
□ 기대효과
○ 지역 내 역량 있는 시민강사를 발굴하여 다양한 재능을 지역사회에 나누고 시민강사 경험을 통해 전문 강사로 성장할 수 있는 기회 제공
○ 고령사회 대비 노인들의 욕구를 반영한 평생학습 지원으로 활기차고 건강한 삶을 지원하여 사회적 비용 절감 효과
 
 ",2019-09-30~2020-03-03,일반공공행정>자치행정,경기도>파주시,#없음,"역량있는 지역내 강사들이 많이 생기는 것은 좋으나, 실력좋은 강사에게 배우고싶은 마음도 있어요.
시민강사 발굴‘재능나루터’운영 매우 좋습니다."
711,원전,내용,2019-08-16,종료,0,"-긴급신고는 112, 119 - 민원상담은 110",2019.09.30,0,0,"1. 긴급신고전화 통합서비스란?
긴급한 상황에서 국민은 쉽게 신고하고 관련기관은 빠르게 대응할 수 있도록 기존의 각종 신고전화를 긴급신고 112, 119, 민원상담은 110으로 통합 하였습니다.
 
2. 긴급신고전화 통합으로 좋아지는 점
      하나 – 112, 119, 110만 기억하면 됩니다.
                 이제는 복잡한 신고 전화번호를 기억하지 않아도 112, 119, 110 3개 번호로만 전화하면 긴급신고 또는 민원상담 서비스를 제공받을 수 있습니다.
 
      둘 – 긴급신고가 더욱 편리해졌습니다.
               긴급신고 시 신고내용, 위치정보, 전화번호 등 신고정보가 경찰·소방·해경 등 관련기관에 실시간으로 공유되므로 반복적으로 설명하지 않아도 되고, 관련기관의 출동 등 공동대응도 빨라졌습니다.
 
      셋 – 긴급신고 현장 대응시간이 빨라졌습니다.
               각종 민원상담 전화가 110으로 통합 운영됨에 따라 출동기관에 신고건수가 줄어들어 현장 대응이 빨라졌습니다.
  
3. 긴급신고전화 통합 추진 이유는?
기존의 국민안전 관련 21개 신고전화가 운영되어 국민들에게 혼란을 초래하고, 개선이 시급하다는 지적이 꾸준히 제기되어 왔으며, 국민 대다수가 신고전화 통합 필요성에 공감하여 추진하였습니다.
 
112와 119에 걸려온 민원전화나 장난전화 등은 긴급 출동 대응시간을 늦추는 요인으로, 긴급신고에 대한 대응력을 높이고 골든타임을 확보하기 위해 긴급하지 않은 민원상담신고는 110으로 분리하여 운영중입니다.",2019-09-30~2020-03-03,공공질서 및 안전>범죄예방,,#긴급신고 #110 #119 #정부민원 #112,
712,원전,내용,2019-09-12,종료,1,국회 환노위를 환경위원회와 노동위원회로 재편하자,2019.09.12,3,1,"국회법인지 아니면 국회 내부 규칙인지
근거 조항은 조사를 못했다.
현재 이른바 환노위가 있다.
오늘 오모씨가 진행하는 시사프로그램에서
폐기물, 쓰레기 주제를 토론하였다.
평소 폐기물 정책이 대 혁신을 해야 할 것이라는 지론이 있어서
관심을 갖고 잘 들었다.
한모 의원의 말도 매우 의미있었다.
기술의 개발, 처리 시스템의 개혁, 공공성의 개입, 불법 폐기처리에 대한 엄정한 추적 처벌
내가 듣고 정리한 주요 내용들이다. 난 이런 것이 적정했다고 본다.
공공성의 개입은 폐기물 처리를 민간이 맡다보니 자본의 논리, 혹은 수익성의 논리에 따라 움직이고 있다는 것이다.  추적 처벌이란 불법 폐기로 돈을 번 사람에겐 종국적으로 금전적 처벌을 틀림없이 가해야 한다는 주장이다.
국회에서 힘있는 위원회에 환노위는 해당이 없다.
힘있는 위원회란 어느 위원회인지 의원들이 알 것이고
여기서 힘은 돈과 관련된 위원회다.
환노위는 환경과 노동이라는 돈과 별 관련이 없거나
권력과 관련이 적은 위원회다.
결국 힘은 없다고 보인다.
사견으론.
나는 앞으로 환경문제, 폐기물 문제는 매우 큰 문제로 커져갈 것이라 본다.
적어도 폐기물, 쓰레기 문제는 그렇다고 본다.
일본의 후쿠시마 원전폭발 후 폐기물도 같은 맥락이다.
여담이지만 일본은 원전폐수를 방류할 가능성이 매우 높다.
그들은 한번도 인류보편적 원칙을 지킨 일이 없다.
고래사냥도 그들은 아직도 하고 있다.
실질적 대책 필요하다.
다시 본론으로 돌아가면
환경위원회와 노동위원회를 별도로 설치하자는 것이 나의 견해다.
조직은 힘을 징표한다.
방향성을 징표한다.
노동문제도 결국 산업발전 문제요, 인간의 삶에 관한 문제이다.
전후 폐허에서 오로지 생존을 위해 군사독재 아래서
오늘의 기적을 만든 우리의 부모들, 조부모들은 영웅이다.
이제 생존을 위한 노동은 벗어난 듯하다.
허나 저출산을 보듯이 우리는 다시 위기를 맞고 있다.
근본적으로 노동문제다.
경제인들, 사업가들, 산업설비  등 이런 것들이 같이 동반되지만
일을 하는 것은 기본적으로 노동자들이다.
전통적으로 경제는  노동과 토지를 기본요소로 보고 있다.
물론 고려적 이야기다.
하지만 노동이 인간에게 있어서 핵심과 필수임은 분명하고
국가의 발전도 노동이 큰 비중을 차지한다.
때문에 국회의 노동위원회는 하는 일은 적어도 그 질적 가치는 매우 크다.
자본자들과 대립된 노동자라는 용어때문에 마치 좌파라는 이미지를 풍기고 있지만
노동은 인간의 근본을 말해준다.
관련하여 교육은 크게 부각시킨다.
헌데 교육 이후는 뭔가.
바로 노동이다.
화이트컬러인지 불루컬러인지는 교육을 통해 결정된다.
문제는 소위 불러컬러도 이제는 만족할만한 보수를 얻는 시대가 되었고
이에 대해 매우 비판하는 자본자들이 있다.
노사분규가 가져오는 국가 발전의 저해는 더 말이 필요없다.
아직까지는 전통적인 노사대립의 구조이다.
그런데 소위 기본소득이라는 개념이 등장하면서
기업의 역할이나 정부의 역할 그리고 노동자의 지위를 다른 시각에서 보는 철학도 등장하였다.
어디에서는 실제 운영한다고 한다.
이런 맥락에서
내가 보기에 이 나라가 더 발전하고 정의롭고 부강한 나라가 되려면
환경위와 노동위가 분리되고 전문성을 높이는 실력있는 국회 위원회가 되는 것이 필요하다고 본다.
앞서 소개한 오모씨의 시사프로그램에는
나름 환경분야에서 식견이 있는 패널들이 나왔다.
반도체 같은 분야만 식견이 필요한 것은 아니다.
결
힘있는 위원회는 아니지만
이젠 환경위원회와 노동위원회로 분리재편하여
전문성을 갖춘 실력있는 위원회로 다시 태어나야 할 것이다.
힘은 없더라도 말이다.
그것이 이 나라가 더 강하고 잘사는 그리고 정의로운 나라가 되는 지름길이라고 본다.
 ",2019-09-12~2020-03-03,환경>환경일반,,#？ㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊㅊ,국회 환노위를 환경위원회와 노동위원회로 재편하자. 합치는 것이 맞습니다.
713,원전,내용,2019-08-14,종료,1,공론화에 대하여,2019.09.10,2,1,"안녕하세요.
서울특별시 광진구입니다. 
공론화의 의미에 대해 생각을 나누고자 합니다.
신고리 원전 공론화 이후 몇몇 지자체에서 주요 현안이나 갈등 사안에 대해서
전문가 토론 및 시민참여단(숙의토론) 구성으로 결론을 도출하는 공론화를 추진하고 있습니다.
또한 공론화 결과를 수용하기로 했다가 이후 반대되는 결정을 해서 논란이 된 바도 있었죠.
그럼에도 불구하고 국가 또는 지자체가 공론화를 추진해야하는 이유가 있다면 그것은 무엇일까요?
공론화를 추진할 때 가장 중요한게 무엇일까요? 
------------------------------------------------------------------
 
공론화가 필요한 진짜 이유는?
추진시 유의해야 할 점은?  
1차 토론에 이어 여러분의 다양한 의견을 기다립니다.",2019-09-10~2020-03-03,일반공공행정>자치행정,서울특별시>광진구,#광진구 #광진구청 #공론화 #의견,공론화에 대하여 매우 중요합니다.
714,원전,내용,2019-08-28,종료,1,우치동물원 체험프로그램 제안해주세요.,2019.08.28,2,1,"○ 광주광역시 우치공원관리사무소는 9월1일부터 ‘동물생태해설사와 동물원 한바퀴 체험’을 시작으로 올해 하반기 체험프로그램을 운영합니다.
○ 동물생태해설사와 동물원 한바퀴 체험은 9월부터 11월까지 세 달간 매일 오전 10시30분과 오후 1시30분 2회 진행됩니다. 우치공원에서 양성한 동물생태해설사와 함께 동물원을 돌며 야생동물 생태 이야기, 우치공원만의 특별한 이야기를 듣는 시간입니다. 시민 누구나 우치공원 홈페이지를 통해 신청할 수 있습니다.
○ 동물원 직업탐방교실은 수의사, 사육사 등 동물원 내 특수 직업군을 체험하는 프로그램으로, 중·고등학생을 대상으로 9월부터 10월까지 두 달간 4회 진행됩니다. 지난 3월 진로체험지원전산망 ‘꿈길’을 통해 신청받은 결과, 하반기 참가자가 모두 마감되었습니다.
○ 우치동물원은 체험프로그램의 인기가 늘어남에 따라 내년부터 현재 5명으로 연 370회 운영하고 있는 동물생태해설사를 5명 늘려 총 10명으로 연 500회 운영할 계획이고 직업탐방교실도 참가 대상을 기존 연 160명에서 연 240명으로 확대할 예정입니다.",2019-08-28~2019-09-11,교육>기타,,#동물원체험교육,우치동물원 체험프로그램 제안해주세요. 매우 좋은 취지입니다.
715,원전,내용,2019-08-23,종료,2,무인민원발급기를 활용한 온라인 민원신고 시스템 도입,2019.08.23,4,2,"정부24 또는 대법원전자가족관계등록시스템에서 가능한 온라인 신고 민원서비스를 무인민원발급기를 활용하여 민원발급 뿐만아니라 온라인 민원신고도 가능하도록 무인민원발급기의 활용방안 확대
1. 현황
   - 온라인 민원신고: 정부24(https://www.gov.kr) 또는 대법원전자가족관계등록시스템
                            (http://efamily.scourt.go.kr)을 통해 전자민원신고(본인확인은 공인인증서활용)
                          : 온라인 전입신고, 개명신고 등
   - 무인민원발급기: 증명서등의 발급 활용(본인확인은 지문활용)
                         : 주민등록등초본 및 가족관계증명서 등 발급
                  
2. 새로운 생각
   - 온라인 전자민원과 무인민원발급기를 접목하여 무인민원발급기를 활용한 온라인 민원신고 시스템 도입
   - 온라인 신고 시 본인확인에 필요한 공인인증서가 없어도 지문자료로 온라인 민원 신고 가능
      (ex. 온라인 전입신고를 무인민원발급기를 통해 신고)
   - 법원마다 무인민원발급기(무인민원신고기)를 설치하여 가족관계등록관서 신고까지 한번에 OK
      : 판결 또는 허가 결정문을 받고 기한내 신고해야하는 가족관계등록 신고(ex. 개명, 등록부정정)의 경우
        판결문(또는 허가문) 교부 즉시 무인민원신고기를 통해 신고
      : 가족관계등록관서에 재방문하지 않고 원스톱 처리 가능,  신고 해태에 대한 과태료 처분을 줄일 수 있어
        국민 편익 증진에 크게 기여
 ",2019-08-23~2020-03-03,일반공공행정>일반행정,,#무인민원발급 #온라인전자민원,"제가 글의 취지를 잘 이해하지 못한 것인지 모르겠지만 굳이 무인민원발급기를 활용하지 않더라도 온라인이나 모바일로도 손쉽게 민원신청을 할 수 있는 다양한 창구와 방법이 있는데 민원신고를 위해 민원발급기를 찾아가는 것은 더 수고롭지않을까요..??^^;;
무인민원발급기를 활용한 온라인 민원신고 시스템 도입 매우 좋은 취지입니다."
716,원전,내용,2019-08-18,종료,7,제32회도쿄올림픽에 한국선수를 보내야 하나요?,2019.08.18,2,3,"본도쿄올림픽은 2020년07월24일~08월09일까지 실시됨니다.
국제올림픽위원회(IOC)는 아르헨티나 부에노스아이레스에서 125차 총회를 열고 2020년 하계올림픽 개최지 선정을 위한 투표를 실시해 도쿄를 최종 선정했습니다. 일본은 마지막 프레젠테이션에 아베 신조 총리까지 나서, 원전 안전문제를 보장하겠다는 입장을 밝히는 등 총력전을 펼친 끝에 결국 올림픽 유치에 성공했습니다.
그러나 일본의 방사능 수치는 아직도 높고 선수들에게 먹는 음식을 후쿠시마산을 주겠다고 선전하고 있습니다.
과연 올림픽에 가서 우리 선수를 위험에 빠트려야 합니까?
일본의 지하수는 전국으로 하나로 연결되있어 원전폭발있는 후쿠시마 뿐만 아니라 전국에거쳐 방사능 오염이 되어있다고해도 과언은 아닐것입니다.
이미 모 어린이집에서 2명의 어린이가 백혈병에 걸렸다고 합니다.
이런사고는 확률로 따지면 10만분의1이라고 합니다.
이렇게 위험한곳에 우리선수를 보내야합니까?
여러분의 생각을 말씀해 주십시요.",2019-08-18~2019-09-01,사회·외교·통일>통일정책,,#도쿄올림픽 #안전 #방사능,"제32회도쿄올림픽에 한국선수를 보내야 하나요? 일본의 만행규탄하고 반대해요?.
찬성은 보낸다 반대는 보내지말자입니다"
721,원전,내용,2019-06-21,종료,0,2019년 대학(원)생 아이디어 소(小)논문 공모전,2019.06.21,6,0,"인천광역시에서는 대학(원)생의 다양하고 참신한 아이디어를 신규 시책으로 발굴하고자
「2019년 대학(원)생 아이디어 소(小)논문 공모전」을 개최하오니 많은 관심 참여 바랍니다.
  
 
1. 공모분야 : 시정연구 및 시민생활 개선(1주제 내 선택 응모)
  ① 쓰레기 감소 방안
  ② 전략적 관광 상품 개발 방안
  ③ 4차 산업과 일자리 창출 방안
  ④ 시민 불편 사항 개선 방안
2. 공모기간 : 2019. 7. 1. ~ 9. 16.
3. 공모자격
  - 인천 소재 (전문)대학 및 대학원(석·박사 과정) 재학생 및 휴학생
  - 인천 출신 (전문)대학 및 대학원(석·박사 과정) 재학생 및 휴학생
    ※ 개인 또는 팀(4인 이내)을 구성하여 응모 가능
    ※ 인천 출신 : 인천에서 태어났거나 인천 소재 학교를 졸업했거나 현재 인천 거주중인 자.
4. 접수방법 : 인천시 홈페이지에서 서식 다운받아 이메일 (sunhee@korea.kr) 접수
    ※ 접수 마감 당일 18시 까지 접수 분에 한함
5. 제출서류
  - 논문분량 : A4 5~10매 이내
  - 공모신청서, 재(휴)학 증명서, 개인정보 제공 및 활용 동의서
    ※ 필요시 파일, 도안, 사진 등 자료첨부 가능, 구체적이고 명확하게 작성
6. 심사기준 : 독창성, 실현 가능성, 논리적 흐름
7. 심사방법 : 1차 실무부서 예비심사 → 2차 심사위원회 본심사
8. 추진일정
   - 7. 1. ~ 9. 16. : 소논문 공모(접수)
   - 9. 17. ~ 9. 30. : 1차 예비심사
   - 10월중          : 2차 본심사
   - 10월말          : 결과공고 및 시상   
 9. 시상내역 : 4개 등급, 9백만원 이내
    - 대 상(1명)   : 300만원
    - 최우수(1명)  : 200만원
    - 우수상(2명)  : 각 100만원
    - 장려상(4명)  : 각 50만원
     ※ 2차 본심사 대상자(1주제 1명)에게 온누리상품권 지급(시상자 제외)
     ※ 포상 및 상금은 심사결과에 따라 등급별 시상 인원이 달라질 수 있으며, 수상자가 없을 수 있음.
10. 심사통보 : 인천시 홈페이지 및 개별통보 (2019. 9월말)
11. 공지사항
  ○ 제출된 논문은 반환하지 않으며, 논문의 저작권 일체(선정된 논문에 한함)는 인천광역시에 귀속합니다.
  ○ 저서, 논문 등의 인용에 대해 반드시 원전을 명기하여야 합니다.
  ○ 타 논문 공모전에 제출하거나, 학위 논문 또는 학술지(논문집) 등 다른 간행물에 발표되지 않은
      창의적인 것이어야 만 합니다.
  ○ 논문 공모에 선정되었더라도 표절이나 응모자격 부적격 등 기타 부정한 방법으로 선정된 경우에는
      수상을  당연 취소하며 상장 및 상금,상품은 반환해야 합니다.
  ○ 논문 내용에 대한 표절시비, 기타 저작권법 위반여부에 대한 책임은 논문 제출자에게 있습니다.
12. 문의사항 : 인천광역시 혁신제안팀 (☏ 032-440-1652)로 문의",2019-06-21~2020-03-03,일반공공행정>자치행정,,#인천,
722,원전,내용,2019-05-25,종료,5,전국 아파트 옥상에 태양열 전기기계 설치 제안,2019.05.25,4,5,"안녕하십니까
다름이 아니오라! 
국가 에너지 정책 제안입니다만 어디다 적을지 잘 몰라서 여기다 올립니다
제가 생각해 봤는데요  전국의 아파트 옥상이나 신축 아파트 건설시 태양열 기계를 설치하면  전력에 크나큰 도움이 될것이라 확신합니다
기존 아파트옥상에 설치해도 되는데 비용 부담을 아파트 주민들이 한다면  주민들이 이사를 가게 되면 본인들이 부담하는거에 대해 거부감이 있으므로(이사할땐 이사오는 사람한테 받으면 좋음) 지방자치제에서 보조금을 주면 좋겠죠  반반부담
저희 아파트에 의견을 건의할 예정입니다.만 비용문제로 그닥 실천력은 기대 못할듯요~
[[탈원전하고 부족한 전력은 아파트 옥상에 태양열 기계설치 ]]
자아실현과 더불어 국민을 위해 고군부투 하시는 청와대 여러분 늘 수고가 많으시네요!
늘 건강하시기를 기원합니다~^^~",2019-05-25~2020-03-03,경제·산업·통상>에너지및자원개발,경상북도>상주시,#ㅇ,"좋은 아이디어네요 국가 보조금도 가능하면 좋겠습니다~~~!!^^
Dear Sir  My Name is Binay, I am poor educated man . I am searching for a job from last 5 years. But there are huge job crises in my country.  I was working as a freelance journalists to struggle in my life.  Three months ago my father was diagnosed with a rare neuromusculer disorder. He can't control his head and can't walk.  In our country there is no insurance or donation from government. In this circumstance I need about $ 7,500 to continue his treatment.  I am writing to you to support me through any donations.  Thank you in advance for your contribution. Your donation will save my father and me from this dilemma.  Here are the ways you can make a donation:  My Bitcoin wallet is- 3HcWektAk2PeKmCX65LEw5yA4LatBp7JXn
에너지 자윈 필요합니다
전국 아파트 옥상에 태양열 전기기계 설치 제안 취지은 조으나 비용이 만만치 않아요?.
전국 아파트 옥상에 태양열 기계를 설치해서 탈원전에서 부족한 전기전력을 보충합시다!라고 강력히 제안합니다 많은 추천부탁드립니다~^^~"
723,원전,내용,2019-05-24,종료,5,"왕복 2차로 국도, 지방도 중앙선 이대로 좋은가?",2019.05.24,2,5,"지방에 살다 보니
그리고 내가 사는 지역의 대부분의 도로가 2차로이다보니 절실히 느끼는 사항입니다.
언제 부턴가 왕복 2차로 도로에 추월 구간이 없어지고 전부 황색실선으로 차선을 도색하였습니다.
물론 무리한 추월, 중앙성 침범은 해서는 안되지만, 직선구간, 시계가 양호한 구간에는 추월을 허용하는 것이 소통을 원활히 하고 오히려 교통사고의 가능성도 줄일 수 있다고 생각합니다.
오늘 아침 제가 주행한 약 30KM의 2차로 어느 곳에도 추월을 허용하는 점선 구간은 없었읍니다.
심지어는 최근에 개통한 국도 2호선 사천 곤명의 원전교차로에서 하동까지의 왕복 2차로에는
황색 실선이 두줄!!
운전자를 잠제적인 범죄자로 만드는 이 제도 바뀌어야 합니다.
여러분의 의견을 듣고 싶습니다.
 ",2019-05-24~2020-03-03,교통 및 물류>기타,경상남도>진주시,#ㅎ,"동감합니다
시장님 시민 발언건 들어주세요
논개 고장 아이디어 희망합니다
진주시  발전.희망 도동 산업 혁신 희망합니다
진주시장님  전국 제안 올려 개방.국민.시민 설문지 파악 부탁드립니다"
